ImageName,ImageDimension,KernelName,KernelDimension,NumReps,TotalTime_s,TimePerRep_s
4K-1,4000x2000,boxBlur,7,3,0.677129,0.22571
4K-1,4000x2000,boxBlur,13,3,1.65873,0.552908
4K-1,4000x2000,boxBlur,19,3,3.44358,1.14786
4K-1,4000x2000,boxBlur,25,3,5.66128,1.88709
4K-2,4000x2000,boxBlur,7,3,0.622626,0.207542
4K-2,4000x2000,boxBlur,13,3,1.69194,0.56398
4K-2,4000x2000,boxBlur,19,3,3.35322,1.11774
4K-2,4000x2000,boxBlur,25,3,5.74194,1.91398
4K-3,4000x2000,boxBlur,7,3,0.617297,0.205766
4K-3,4000x2000,boxBlur,13,3,1.70737,0.569123
4K-3,4000x2000,boxBlur,19,3,3.38642,1.12881
4K-3,4000x2000,boxBlur,25,3,5.64981,1.88327
5K-1,5000x3000,boxBlur,7,3,1.14948,0.38316
5K-1,5000x3000,boxBlur,13,3,3.18201,1.06067
5K-1,5000x3000,boxBlur,19,3,6.38883,2.12961
5K-1,5000x3000,boxBlur,25,3,10.7613,3.58709
5K-2,5000x3000,boxBlur,7,3,1.15423,0.384743
5K-2,5000x3000,boxBlur,13,3,3.18604,1.06201
5K-2,5000x3000,boxBlur,19,3,6.30651,2.10217
5K-2,5000x3000,boxBlur,25,3,10.5839,3.52798
5K-3,5000x3000,boxBlur,7,3,1.15459,0.384863
5K-3,5000x3000,boxBlur,13,3,3.23394,1.07798
5K-3,5000x3000,boxBlur,19,3,6.3145,2.10483
5K-3,5000x3000,boxBlur,25,3,10.574,3.52466
6K-1,6000x4000,boxBlur,7,3,1.90602,0.635341
6K-1,6000x4000,boxBlur,13,3,5.2042,1.73473
6K-1,6000x4000,boxBlur,19,3,10.3531,3.45105
6K-1,6000x4000,boxBlur,25,3,17.1078,5.70262
6K-2,6000x4000,boxBlur,7,3,1.98049,0.660163
6K-2,6000x4000,boxBlur,13,3,5.17017,1.72339
6K-2,6000x4000,boxBlur,19,3,10.3035,3.43448
6K-2,6000x4000,boxBlur,25,3,17.1316,5.71054
6K-3,6000x4000,boxBlur,7,3,1.96315,0.654382
6K-3,6000x4000,boxBlur,13,3,5.66689,1.88896
6K-3,6000x4000,boxBlur,19,3,10.4893,3.49643
6K-3,6000x4000,boxBlur,25,3,17.5512,5.85042
7K-1,7000x5000,boxBlur,7,3,2.85539,0.951797
7K-1,7000x5000,boxBlur,13,3,7.61346,2.53782
7K-1,7000x5000,boxBlur,19,3,15.0784,5.02615
7K-1,7000x5000,boxBlur,25,3,25.2435,8.41449
7K-2,7000x5000,boxBlur,7,3,2.79717,0.932388
7K-2,7000x5000,boxBlur,13,3,7.6842,2.5614
7K-2,7000x5000,boxBlur,19,3,15.071,5.02368
7K-2,7000x5000,boxBlur,25,3,25.1876,8.39587
7K-3,7000x5000,boxBlur,7,3,2.89057,0.963524
7K-3,7000x5000,boxBlur,13,3,7.59955,2.53318
7K-3,7000x5000,boxBlur,19,3,15.0144,5.00482
7K-3,7000x5000,boxBlur,25,3,25.6353,8.54511
