ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
4K-1,4000x2000,boxBlur,7,2.22972,1,1,1
4K-2,4000x2000,boxBlur,7,2.23202,1,1,1
4K-3,4000x2000,boxBlur,7,2.2314,1,1,1
4K-1,4000x2000,boxBlur,7,1.1298,2,1.97354,0.986771
4K-2,4000x2000,boxBlur,7,1.12462,2,1.9847,0.99235
4K-3,4000x2000,boxBlur,7,1.12642,2,1.98096,0.99048
4K-1,4000x2000,boxBlur,7,0.587578,4,3.79476,0.948689
4K-2,4000x2000,boxBlur,7,0.589834,4,3.78416,0.94604
4K-3,4000x2000,boxBlur,7,0.589368,4,3.78608,0.946519
4K-1,4000x2000,boxBlur,7,0.361991,8,6.15959,0.769949
4K-2,4000x2000,boxBlur,7,0.362565,8,6.1562,0.769525
4K-3,4000x2000,boxBlur,7,0.364042,8,6.1295,0.766188
4K-1,4000x2000,boxBlur,7,0.263203,16,8.47146,0.529467
4K-2,4000x2000,boxBlur,7,0.26114,16,8.54722,0.534201
4K-3,4000x2000,boxBlur,7,0.263114,16,8.4807,0.530044
