ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
7K-1,7000x5000,boxBlur,7,4.06574,1,1,1
7K-2,7000x5000,boxBlur,7,3.69475,1,1,1
7K-3,7000x5000,boxBlur,7,3.70169,1,1,1
7K-1,7000x5000,boxBlur,7,1.94432,2,2.09109,1.04554
7K-2,7000x5000,boxBlur,7,1.93738,2,1.90708,0.953541
7K-3,7000x5000,boxBlur,7,1.94757,2,1.90067,0.950336
7K-1,7000x5000,boxBlur,7,1.12196,4,3.62379,0.905947
7K-2,7000x5000,boxBlur,7,1.13354,4,3.25947,0.814867
7K-3,7000x5000,boxBlur,7,1.1257,4,3.28834,0.822084
7K-1,7000x5000,boxBlur,7,0.804456,8,5.05402,0.631753
7K-2,7000x5000,boxBlur,7,0.802942,8,4.60151,0.575189
7K-3,7000x5000,boxBlur,7,0.801887,8,4.61623,0.577028
7K-1,7000x5000,boxBlur,7,0.742993,16,5.47211,0.342007
7K-2,7000x5000,boxBlur,7,0.738351,16,5.00405,0.312753
7K-3,7000x5000,boxBlur,7,0.734009,16,5.04311,0.315195
