ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
4K-1,4000x2000,boxBlur,7,2.33966,1,4000x2000,1,1,3.4193
4K-2,4000x2000,boxBlur,7,2.29094,1,4000x2000,1,1,3.49202
4K-3,4000x2000,boxBlur,7,2.28323,1,4000x2000,1,1,3.50381
4K-1,4000x4000,boxBlur,7,2.39328,2,4000x2000,0.977597,1.95519,6.68539
4K-2,4000x4000,boxBlur,7,2.39787,2,4000x2000,0.955407,1.91081,6.6726
4K-3,4000x4000,boxBlur,7,2.4245,2,4000x2000,0.941732,1.88346,6.5993
4K-1,4000x8000,boxBlur,7,2.44015,4,4000x2000,0.958816,3.83526,13.1139
4K-2,4000x8000,boxBlur,7,2.43484,4,4000x2000,0.940899,3.7636,13.1426
4K-3,4000x8000,boxBlur,7,2.44207,4,4000x2000,0.934956,3.73983,13.1036
4K-1,4000x16000,boxBlur,7,2.97509,8,4000x2000,0.786416,6.29133,21.5119
4K-2,4000x16000,boxBlur,7,2.95042,8,4000x2000,0.776479,6.21183,21.6918
4K-3,4000x16000,boxBlur,7,2.98005,8,4000x2000,0.76617,6.12936,21.4761
4K-1,4000x32000,boxBlur,7,4.24996,16,4000x2000,0.550514,8.80822,30.1179
4K-2,4000x32000,boxBlur,7,4.23107,16,4000x2000,0.541456,8.66329,30.2524
4K-3,4000x32000,boxBlur,7,4.19781,16,4000x2000,0.543909,8.70254,30.4921
