ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
5K-1,5000x3000,boxBlur,13,11.1738,1,5000x3000,1,1,1.34243
5K-2,5000x3000,boxBlur,13,11.2603,1,5000x3000,1,1,1.33212
5K-3,5000x3000,boxBlur,13,10.9962,1,5000x3000,1,1,1.36411
5K-1,5000x6000,boxBlur,13,11.5018,2,5000x3000,0.971479,1.94296,2.60828
5K-2,5000x6000,boxBlur,13,11.5062,2,5000x3000,0.978628,1.95726,2.6073
5K-3,5000x6000,boxBlur,13,11.3483,2,5000x3000,0.968967,1.93793,2.64356
5K-1,5000x12000,boxBlur,13,11.3971,4,5000x3000,0.980404,3.92162,5.26449
5K-2,5000x12000,boxBlur,13,11.7913,4,5000x3000,0.954964,3.81985,5.0885
5K-3,5000x12000,boxBlur,13,11.6991,4,5000x3000,0.939917,3.75967,5.12861
5K-1,5000x24000,boxBlur,13,17.2767,8,5000x3000,0.646753,5.17402,6.94575
5K-2,5000x24000,boxBlur,13,17.7258,8,5000x3000,0.635246,5.08197,6.76978
5K-3,5000x24000,boxBlur,13,17.483,8,5000x3000,0.628963,5.0317,6.8638
5K-1,5000x48000,boxBlur,13,21.4118,16,5000x3000,0.521851,8.34962,11.2088
5K-2,5000x48000,boxBlur,13,22.6684,16,5000x3000,0.496739,7.94783,10.5874
5K-3,5000x48000,boxBlur,13,21.1492,16,5000x3000,0.519932,8.31892,11.3479
