ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
5K-1,5000x3000,boxBlur,13,11.3742,1,1,1
5K-2,5000x3000,boxBlur,13,11.5077,1,1,1
5K-3,5000x3000,boxBlur,13,11.4643,1,1,1
5K-1,5000x3000,boxBlur,13,5.6881,2,1.99965,0.999825
5K-2,5000x3000,boxBlur,13,5.77217,2,1.99365,0.996826
5K-3,5000x3000,boxBlur,13,5.72065,2,2.00403,1.00202
5K-1,5000x3000,boxBlur,13,2.87429,4,3.95723,0.989306
5K-2,5000x3000,boxBlur,13,2.8802,4,3.99545,0.998863
5K-3,5000x3000,boxBlur,13,2.87694,4,3.98491,0.996227
5K-1,5000x3000,boxBlur,13,1.76082,8,6.45962,0.807453
5K-2,5000x3000,boxBlur,13,1.75842,8,6.54433,0.818041
5K-3,5000x3000,boxBlur,13,1.75844,8,6.5196,0.814949
5K-1,5000x3000,boxBlur,13,1.31533,16,8.64745,0.540465
5K-2,5000x3000,boxBlur,13,1.31949,16,8.7213,0.545082
5K-3,5000x3000,boxBlur,13,1.32038,16,8.68262,0.542664
