ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
7K-1,7000x5000,boxBlur,7,10.1543,1,7000x5000,1,1,3.4468
7K-2,7000x5000,boxBlur,7,9.9335,1,7000x5000,1,1,3.52343
7K-3,7000x5000,boxBlur,7,9.81278,1,7000x5000,1,1,3.56678
7K-1,7000x10000,boxBlur,7,10.6615,2,7000x5000,0.952433,1.90487,6.5657
7K-2,7000x10000,boxBlur,7,10.4565,2,7000x5000,0.949981,1.89996,6.69439
7K-3,7000x10000,boxBlur,7,10.2597,2,7000x5000,0.956435,1.91287,6.82278
7K-1,7000x20000,boxBlur,7,10.6905,4,7000x5000,0.949849,3.7994,13.0958
7K-2,7000x20000,boxBlur,7,11.0812,4,7000x5000,0.896429,3.58571,12.634
7K-3,7000x20000,boxBlur,7,11.2417,4,7000x5000,0.872894,3.49158,12.4537
7K-1,7000x40000,boxBlur,7,15.6742,8,7000x5000,0.647836,5.18269,17.8637
7K-2,7000x40000,boxBlur,7,16.062,8,7000x5000,0.618448,4.94759,17.4325
7K-3,7000x40000,boxBlur,7,16.008,8,7000x5000,0.612993,4.90395,17.4913
7K-1,7000x80000,boxBlur,7,19.6261,16,7000x5000,0.517389,8.27822,28.5334
7K-2,7000x80000,boxBlur,7,20.1398,16,7000x5000,0.493227,7.89163,27.8056
7K-3,7000x80000,boxBlur,7,19.8778,16,7000x5000,0.493656,7.89849,28.1722
