ImageName,ImageDimension,KernelName,KernelDimension,NumReps,TotalTime_s,TimePerRep_s
4K-1,4000x2000,boxBlur,7,3,0.14525,0.0484167
4K-1,4000x2000,boxBlur,13,3,0.202505,0.0675018
4K-1,4000x2000,boxBlur,19,3,0.376372,0.125457
4K-1,4000x2000,boxBlur,25,3,0.625473,0.208491
4K-2,4000x2000,boxBlur,7,3,0.102467,0.0341558
4K-2,4000x2000,boxBlur,13,3,0.202716,0.0675719
4K-2,4000x2000,boxBlur,19,3,0.376945,0.125648
4K-2,4000x2000,boxBlur,25,3,0.613283,0.204428
4K-3,4000x2000,boxBlur,7,3,0.0995982,0.0331994
4K-3,4000x2000,boxBlur,13,3,0.206942,0.0689808
4K-3,4000x2000,boxBlur,19,3,0.377841,0.125947
4K-3,4000x2000,boxBlur,25,3,0.616294,0.205431
5K-1,5000x3000,boxBlur,7,3,0.18601,0.0620034
5K-1,5000x3000,boxBlur,13,3,0.380095,0.126698
5K-1,5000x3000,boxBlur,19,3,0.716235,0.238745
5K-1,5000x3000,boxBlur,25,3,1.14788,0.382626
5K-2,5000x3000,boxBlur,7,3,0.17497,0.0583233
5K-2,5000x3000,boxBlur,13,3,0.381723,0.127241
5K-2,5000x3000,boxBlur,19,3,0.703661,0.234554
5K-2,5000x3000,boxBlur,25,3,1.14755,0.382516
5K-3,5000x3000,boxBlur,7,3,0.177853,0.0592842
5K-3,5000x3000,boxBlur,13,3,0.381591,0.127197
5K-3,5000x3000,boxBlur,19,3,0.704171,0.234724
5K-3,5000x3000,boxBlur,25,3,1.14883,0.382943
6K-1,6000x4000,boxBlur,7,3,0.286461,0.0954872
6K-1,6000x4000,boxBlur,13,3,0.606208,0.202069
6K-1,6000x4000,boxBlur,19,3,1.12576,0.375255
6K-1,6000x4000,boxBlur,25,3,1.86503,0.621675
6K-2,6000x4000,boxBlur,7,3,0.294534,0.0981781
6K-2,6000x4000,boxBlur,13,3,0.605349,0.201783
6K-2,6000x4000,boxBlur,19,3,1.13956,0.379853
6K-2,6000x4000,boxBlur,25,3,1.86615,0.62205
6K-3,6000x4000,boxBlur,7,3,0.289778,0.0965928
6K-3,6000x4000,boxBlur,13,3,0.609184,0.203061
6K-3,6000x4000,boxBlur,19,3,1.1474,0.382465
6K-3,6000x4000,boxBlur,25,3,1.86491,0.621638
7K-1,7000x5000,boxBlur,7,3,0.403671,0.134557
7K-1,7000x5000,boxBlur,13,3,0.884612,0.294871
7K-1,7000x5000,boxBlur,19,3,1.63599,0.545328
7K-1,7000x5000,boxBlur,25,3,2.83273,0.944243
7K-2,7000x5000,boxBlur,7,3,0.400504,0.133501
7K-2,7000x5000,boxBlur,13,3,0.885129,0.295043
7K-2,7000x5000,boxBlur,19,3,1.65516,0.55172
7K-2,7000x5000,boxBlur,25,3,2.78647,0.928822
7K-3,7000x5000,boxBlur,7,3,0.40652,0.135507
7K-3,7000x5000,boxBlur,13,3,0.896002,0.298667
7K-3,7000x5000,boxBlur,19,3,1.64346,0.54782
7K-3,7000x5000,boxBlur,25,3,2.82473,0.941578
