ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
4K-1,4000x2000,boxBlur,25,2.25335,1,1,1
4K-2,4000x2000,boxBlur,25,2.15047,1,1,1
4K-3,4000x2000,boxBlur,25,2.15169,1,1,1
4K-1,4000x2000,boxBlur,25,1.09394,2,2.05985,1.02992
4K-2,4000x2000,boxBlur,25,1.09757,2,1.95931,0.979654
4K-3,4000x2000,boxBlur,25,1.0985,2,1.95876,0.97938
4K-1,4000x2000,boxBlur,25,0.603193,4,3.73571,0.933927
4K-2,4000x2000,boxBlur,25,0.605193,4,3.55336,0.88834
4K-3,4000x2000,boxBlur,25,0.604377,4,3.56018,0.890044
4K-1,4000x2000,boxBlur,25,0.364134,8,6.18825,0.773531
4K-2,4000x2000,boxBlur,25,0.362212,8,5.93705,0.742131
4K-3,4000x2000,boxBlur,25,0.365509,8,5.88684,0.735855
4K-1,4000x2000,boxBlur,25,0.307338,16,7.33184,0.45824
4K-2,4000x2000,boxBlur,25,0.311875,16,6.89529,0.430956
4K-3,4000x2000,boxBlur,25,0.310331,16,6.93353,0.433346
