ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
6K-1,6000x4000,boxBlur,19,8.1872,1,6000x4000,1,1,2.93141
6K-2,6000x4000,boxBlur,19,8.10785,1,6000x4000,1,1,2.9601
6K-3,6000x4000,boxBlur,19,8.12794,1,6000x4000,1,1,2.95278
6K-1,6000x8000,boxBlur,19,8.23422,2,6000x4000,0.994289,1.98858,5.82933
6K-2,6000x8000,boxBlur,19,8.22334,2,6000x4000,0.985955,1.97191,5.83704
6K-3,6000x8000,boxBlur,19,8.22874,2,6000x4000,0.987751,1.9755,5.83322
6K-1,6000x16000,boxBlur,19,9.10145,4,6000x4000,0.899549,3.59819,10.5478
6K-2,6000x16000,boxBlur,19,9.08644,4,6000x4000,0.892302,3.56921,10.5652
6K-3,6000x16000,boxBlur,19,9.07407,4,6000x4000,0.895733,3.58293,10.5796
6K-1,6000x32000,boxBlur,19,11.1907,8,6000x4000,0.731608,5.85287,17.1571
6K-2,6000x32000,boxBlur,19,11.1868,8,6000x4000,0.724767,5.79814,17.163
6K-3,6000x32000,boxBlur,19,11.201,8,6000x4000,0.725644,5.80516,17.1413
6K-1,6000x64000,boxBlur,19,20.5148,16,6000x4000,0.399088,6.3854,18.7182
6K-2,6000x64000,boxBlur,19,20.7663,16,6000x4000,0.390432,6.24691,18.4915
6K-3,6000x64000,boxBlur,19,20.5316,16,6000x4000,0.395876,6.33401,18.7029
