ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,SpeedUp,Efficiency
7K-1,7000x5000,boxBlur,25,79.8647,1,1,1
7K-2,7000x5000,boxBlur,25,80.8642,1,1,1
7K-3,7000x5000,boxBlur,25,80.6253,1,1,1
7K-1,7000x5000,boxBlur,25,40.7216,2,1.96124,0.980619
7K-2,7000x5000,boxBlur,25,40.7988,2,1.98203,0.991013
7K-3,7000x5000,boxBlur,25,40.7855,2,1.97681,0.988407
7K-1,7000x5000,boxBlur,25,19.9491,4,4.00342,1.00086
7K-2,7000x5000,boxBlur,25,20.1612,4,4.01088,1.00272
7K-3,7000x5000,boxBlur,25,20.5248,4,3.92819,0.982047
7K-1,7000x5000,boxBlur,25,17.5464,8,4.55162,0.568953
7K-2,7000x5000,boxBlur,25,17.3836,8,4.65176,0.58147
7K-3,7000x5000,boxBlur,25,17.5291,8,4.5995,0.574938
7K-1,7000x5000,boxBlur,25,10.3013,16,7.75291,0.484557
7K-2,7000x5000,boxBlur,25,10.1477,16,7.9687,0.498044
7K-3,7000x5000,boxBlur,25,10.1341,16,7.95585,0.497241
