ImageName,ImageDimension,KernelName,KernelDimension,TimePerRep_s,NumThreads,UnitOfWork,WeakEfficiency,ScaledSpeedUp,Throughput_Mpix_s
7K-1,7000x5000,boxBlur,25,78.973,1,7000x5000,1,1,0.44319
7K-2,7000x5000,boxBlur,25,80.5539,1,7000x5000,1,1,0.434491
7K-3,7000x5000,boxBlur,25,80.3449,1,7000x5000,1,1,0.435622
7K-1,7000x10000,boxBlur,25,81.1563,2,7000x5000,0.973098,1.9462,0.862534
7K-2,7000x10000,boxBlur,25,82.0535,2,7000x5000,0.981724,1.96345,0.853102
7K-3,7000x10000,boxBlur,25,81.1735,2,7000x5000,0.989792,1.97958,0.862351
7K-1,7000x20000,boxBlur,25,82.7584,4,7000x5000,0.954259,3.81704,1.69167
7K-2,7000x20000,boxBlur,25,83.2456,4,7000x5000,0.967666,3.87067,1.68177
7K-3,7000x20000,boxBlur,25,83.6292,4,7000x5000,0.960727,3.84291,1.67406
7K-1,7000x40000,boxBlur,25,131.697,8,7000x5000,0.599658,4.79726,2.1261
7K-2,7000x40000,boxBlur,25,132.58,8,7000x5000,0.607588,4.86071,2.11194
7K-3,7000x40000,boxBlur,25,136.4,8,7000x5000,0.589039,4.71231,2.05279
7K-1,7000x80000,boxBlur,25,163.276,16,7000x5000,0.483679,7.73886,3.42978
7K-2,7000x80000,boxBlur,25,162.466,16,7000x5000,0.495821,7.93314,3.44688
7K-3,7000x80000,boxBlur,25,162.576,16,7000x5000,0.494198,7.90717,3.44454
